评估期,IC,平均超额(5日),跑赢胜率,信号次数
2019-07-01 ~ 2019-12-31,0.17150248831681805,0.010901621190597472,0.7307692307692307,26
2020-01-02 ~ 2020-07-13,0.21893633617121708,0.02863582405424323,0.8461538461538461,26
2020-07-14 ~ 2021-01-14,0.11992721714394342,0.004791107620266212,0.6923076923076923,26
2021-01-15 ~ 2021-07-23,0.13331430241911013,0.022348700941426897,0.8076923076923077,26
2021-07-26 ~ 2022-01-27,0.028214759321847603,0.005989551888837033,0.5384615384615384,26
2022-01-28 ~ 2022-08-08,0.07625174196471515,0.008441978295925327,0.5769230769230769,26
2022-08-09 ~ 2023-02-16,0.1341159245486063,0.008520944764296306,0.5,26
2023-02-17 ~ 2023-08-21,0.0578954829653053,0.007933295062838994,0.5,26
2023-08-22 ~ 2024-03-01,0.1199814052512262,0.007470261564690818,0.46153846153846156,26
2024-03-04 ~ 2024-09-03,0.021319782579059678,0.0044027943469794545,0.5,26
2024-09-04 ~ 2025-03-18,0.11227700300381246,0.010657463274163266,0.6538461538461539,26
2025-03-19 ~ 2025-09-17,0.07696240887878174,0.01064979567916341,0.6153846153846154,26
2025-09-18 ~ 2026-04-01,0.04843654600633261,0.010565392912964627,0.5769230769230769,26
2026-04-02 ~ 2026-08-07,0.11467538792337456,0.010851243740343656,0.7222222222222222,18
